ID,Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
3214,ALFA ROMEO,Giulia,MID-SIZE,2.0,4,A8,Z,10.0,7.2,8.7,32,205
3215,CADILLAC,XTS Vsport AWD,FULL-SIZE,3.6,6,AS6,Z,14.8,9.8,12.6,22,290
3216,JEEP,GRAND CHEROKEE 4X4,SUV - STANDARD,5.7,8,A8,X,16.7,10.9,14.1,20,331
3217,BENTLEY,Bentayga,SUV - STANDARD,6.0,12,AS8,Z,20.0,13.8,17.2,16,401
3218,HYUNDAI,SONATA HYBRID SE,MID-SIZE,2.0,4,AS6,X,6.0,5.3,,50,137
3219,CHRYSLER,200 CONVERTIBLE,COMPACT,2.4,4,A4,X,11.7,8.2,10.1,28,232
3220,VOLVO,V90 CC T6 AWD,STATION WAGON - MID-SIZE,2.0,4,AS8,Z,11.6,8.1,10.0,28,233
3221,MERCEDES-BENZ,C 300 4MATIC Wagon,STATION WAGON - SMALL,2.0,4,A9,Z,,7.7,9.5,30,221
3222,AUDI,S3,SUBCOMPACT,2.0,4,AM7,Z,10.6,8.3,9.6,29,223
3223,MERCEDES-BENZ,GLC 300 4MATIC,SUV - SMALL,2.0,4,A9,Z,11.0,,10.0,28,234
3224,MITSUBISHI,Mirage,COMPACT,1.2,3,AV,X,6.6,5.6,6.2,46,143
3225,INFINITI,Q60 AWD,SUBCOMPACT,3.0,6,AS7,Z,12.4,8.8,10.8,26,253
3226,AUDI,S5,SUBCOMPACT,3.0,6,AM7,Z,13.0,8.5,11.0,26,253
3227,AUDI,Q7,SUV - STANDARD,3.0,6,AS8,Z,13.8,,12.7,22,296
3228,NISSAN,Armada 4WD,SUV - STANDARD,5.6,8,AS7,X,17.5,12.9,15.4,18,362
3229,CHEVROLET,CAMARO,COMPACT,6.2,8,AS6,Z,15.3,9.8,12.8,22,294
3230,FORD,FOCUS FFV,COMPACT,2.0,4,AM6,X,8.9,6.0,7.6,37,178
3231,GMC,TERRAIN AWD,SUV - SMALL,2.0,4,A9,Z,11.2,9.0,10.2,28,239
3232,FORD,FUSION,MID-SIZE,2.5,4,AS6,X,10.5,7.0,8.9,32,205
3233,FORD,FOCUS,COMPACT,1.0,3,M6,X,8.1,5.9,7.1,40,163
3234,MAZDA,MAZDA3 4-DOOR (SIL),COMPACT,2.5,4,M6,X,9.3,6.4,8.0,35,184
3235,MERCEDES-BENZ,G 550,SUV - STANDARD,5.5,8,AS7,Z,19.0,16.5,17.9,16,401
3236,MITSUBISHI,LANCER,COMPACT,2.0,4,AV6,X,9.2,7.0,8.2,34,189
3237,FORD,EXPLORER FFV,SUV - STANDARD,3.5,6,AS6,X,13.7,9.7,11.9,24,274
3238,CHRYSLER,300,FULL-SIZE,3.6,6,A8,X,12.4,7.8,10.3,27,242
3239,FORD,ESCAPE AWD,SUV - SMALL,2.0,4,AS6,X,11.2,8.5,10.0,28,230
3240,CADILLAC,CTS-V COUPE,MID-SIZE,6.2,8,M6,Z,16.7,12.5,14.8,19,340
3241,MERCEDES-BENZ,AMG C 63,COMPACT,4.0,8,A9,Z,13.2,8.7,11.2,25,263
3242,PORSCHE,MACAN S,SUV - SMALL,3.0,6,A7,Z,13.7,10.3,12.2,23,285
3243,NISSAN,Qashqai,STATION WAGON - SMALL,2.0,4,M6,X,10.1,8.2,9.2,31,217
3244,FORD,EXPLORER FFV AWD,SUV - STANDARD,3.5,6,AS6,X,14.4,10.5,12.6,22,296
3245,MITSUBISHI,RVR,SUV - SMALL,2.0,4,AV6,X,9.6,7.6,8.7,32,202
3246,NISSAN,VERSA,MID-SIZE,1.6,4,M5,X,8.6,6.6,7.7,37,180
3247,FORD,Taurus AWD,FULL-SIZE,3.5,6,AS6,X,14.6,10.0,12.5,23,294
3248,AUDI,RS 7 QUATTRO,MID-SIZE,4.0,8,AS8,Z,16.6,9.4,13.3,21,313
3249,MERCEDES-BENZ,GLA 250 4MATIC,SUV - SMALL,2.0,4,AS7,Z,9.8,7.4,8.7,32,203
3250,LEXUS,RX 350 AWD,SUV - SMALL,3.5,6,AS8,X,12.2,9.0,10.8,26,252
3251,FORD,MUSTANG,SUBCOMPACT,5.0,8,M6,X,15.5,,12.7,22,298
3252,FIAT,500L,STATION WAGON - SMALL,1.4,4,A6,X,10.7,7.9,9.4,30,221
3253,MAZDA,MAZDA3 5-DOOR (SIL),MID-SIZE,2.0,4,M6,X,8.2,5.9,7.1,40,163
3254,MERCEDES-BENZ,SLK 350,TWO-SEATER,3.5,6,AS7,Z,11.1,8.1,9.8,29,229
3255,CHEVROLET,SILVERADO FFV,PICKUP TRUCK - STANDARD,5.3,8,A6,X,14.6,,12.7,22,298
3256,CHEVROLET,COLORADO 4WD,PICKUP TRUCK - SMALL,2.8,4,A6,D,12.1,8.3,10.4,27,279
3257,KIA,FORTE (GDI),MID-SIZE,2.0,4,AS6,X,9.4,7.0,8.3,34,198
3258,MAZDA,MAZDA3 4-DOOR (i-ELOOP),COMPACT,2.5,4,AS6,X,8.2,5.9,7.2,39,169
3259,FORD,ESCAPE AWD,SUV - SMALL,2.0,4,AS6,X,11.5,8.8,10.3,27,241
3260,CHEVROLET,SONIC 5,MID-SIZE,1.8,4,AS6,X,9.6,6.7,8.3,34,191
3261,CHEVROLET,SONIC,COMPACT,1.8,4,M5,X,9.2,7.1,8.3,34,194
3262,KIA,SEDONA SX,MINIVAN,3.3,6,AS6,X,12.9,9.5,11.4,25,262
3263,HYUNDAI,SANTA FE AWD,SUV - SMALL,3.3,6,AS6,X,13.0,9.7,11.5,25,269
3264,HYUNDAI,Santa Fe XL AWD,SUV - SMALL,3.3,6,AS6,X,,9.7,11.7,24,276
3265,CHEVROLET,MALIBU,MID-SIZE,2.5,4,AS6,X,9.3,,8.0,35,184
3266,MAZDA,MAZDA3 4-DOOR (SIL),COMPACT,2.5,4,M6,X,9.3,6.9,8.2,34,194
3267,SUBARU,IMPREZA WAGON AWD,STATION WAGON - SMALL,2.5,4,M5,Z,12.6,9.5,11.2,25,258
3268,BENTLEY,CONTINENTAL GT CONVERTIBLE,SUBCOMPACT,4.0,8,AS8,Z,17.7,10.3,14.4,20,337
3269,SUBARU,BRZ,MINICOMPACT,2.0,4,AS6,Z,9.6,7.1,8.5,33,196
3270,BMW,M6 GRAN COUPE,COMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,19,344
3271,FORD,EDGE (Start/Stop),SUV - SMALL,2.0,4,AS6,X,11.3,8.0,9.8,29,230
3272,FORD,Escape FFV,SUV - SMALL,2.5,4,AS6,E,15.0,10.8,13.1,22,218
3273,MINI,COOPER S 5 DOOR,SUBCOMPACT,2.0,4,M6,Z,10.0,7.0,8.7,32,203
3274,MITSUBISHI,RVR 4WD,SUV - SMALL,2.4,4,AV6,X,10.3,8.3,9.4,30,219
3275,MERCEDES-BENZ,G 550,SUV - STANDARD,4.0,8,AS7,Z,19.0,16.6,17.9,16,401
3276,HONDA,Civic Sedan,MID-SIZE,2.0,4,M6,X,9.3,6.5,8.0,35,186
3277,TOYOTA,Tacoma 4WD D-Cab TRD Off-Road/Pro,PICKUP TRUCK - SMALL,3.5,6,M6,X,13.8,,12.9,22,300
3278,MAZDA,CX-5 4WD (Cylinder Deactivation),SUV - SMALL,2.5,4,AS6,X,9.8,7.9,9.0,31,208
3279,TOYOTA,SEQUOIA 4WD,SUV - STANDARD,5.7,8,AS6,X,18.8,14.0,16.6,17,382
3280,GMC,YUKON FFV,SUV - STANDARD,5.3,8,A6,E,20.0,,17.1,17,284
3281,TOYOTA,PRIUS v,STATION WAGON - MID-SIZE,1.8,4,AV,X,5.4,5.8,5.6,50,129
3282,LAND ROVER,RANGE ROVER,SUV - STANDARD,3.0,6,AS8,Z,14.2,10.2,12.4,23,291
3283,AUDI,A3 quattro,SUBCOMPACT,2.0,4,AM7,X,10.8,8.0,9.5,30,224
3284,VOLKSWAGEN,CC,COMPACT,2.0,4,A6,Z,11.1,7.9,9.7,29,223
3285,NISSAN,ALTIMA,MID-SIZE,2.5,4,AV,X,8.7,6.2,7.6,37,175
3286,BMW,X4 M40i,SUV - SMALL,3.0,6,AS8,Z,12.8,9.5,11.3,25,264
3287,MAZDA,CX-5,SUV - SMALL,2.0,4,M6,X,9.7,7.7,8.8,32,206
3288,MINI,JOHN COOPER WORKS CONVERTIBLE,MINICOMPACT,1.6,4,A6,Z,9.3,7.0,8.3,34,191
3289,GMC,SIERRA,PICKUP TRUCK - STANDARD,5.3,8,A6,X,14.6,10.3,,22,298
3290,TOYOTA,4RUNNER 4WD (Part-Time 4WD),SUV - STANDARD,4.0,6,AS5,X,14.3,11.9,13.2,21,308
3291,AUDI,TT COUPE QUATTRO,SUBCOMPACT,2.0,4,AM6,Z,10.4,7.6,9.1,31,209
3292,VOLKSWAGEN,EOS,SUBCOMPACT,2.0,4,A6,Z,10.9,8.0,9.6,29,221
3293,HONDA,ACCORD,MID-SIZE,2.4,4,AV7,X,9.2,,8.2,34,190
3294,JEEP,Cherokee 4X4 Active Drive Lock,SUV - SMALL,3.2,6,A9,X,12.9,9.9,11.6,24,269
3295,BMW,435i xDRIVE COUPE,COMPACT,3.0,6,M6,Z,12.3,8.4,10.5,27,247
3296,MERCEDES-BENZ,AMG G 65,SUV - STANDARD,6.0,12,A7,Z,22.2,18.0,,14,473
3297,PORSCHE,PANAMERA TURBO S EXECUTIVE,FULL-SIZE,4.8,8,AM7,Z,15.4,9.8,12.9,22,297
3298,MERCEDES-BENZ,GLA 250 4MATIC,SUV - SMALL,2.0,4,AS7,Z,9.8,7.4,8.7,32,200
3299,FORD,MUSTANG,SUBCOMPACT,5.0,8,A6,X,13.3,9.3,11.5,25,264
3300,PORSCHE,Cayenne Turbo,SUV - STANDARD,4.0,8,AS8,Z,15.6,12.4,14.1,20,329
3301,MERCEDES-BENZ,AMG C 63 CABRIOLET,SUBCOMPACT,4.0,8,AS7,Z,14.0,10.1,12.2,23,291
3302,VOLVO,XC60 T6 AWD,SUV - SMALL,2.0,4,AS8,Z,11.8,9.1,10.6,27,247
3303,MERCEDES-BENZ,GLC 300 4MATIC Coupe,SUV - SMALL,2.0,4,A9,Z,10.8,9.0,10.0,28,234
3304,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,A6,E,18.9,14.2,16.8,17,269
3305,INFINITI,Q50 AWD,MID-SIZE,3.0,6,AS7,Z,12.4,8.7,10.8,26,253
3306,BMW,320i,COMPACT,2.0,4,M6,Z,10.2,6.7,8.6,33,202
3307,LEXUS,LS 460 AWD,MID-SIZE,4.6,8,AS8,Z,,10.3,12.9,22,297
3308,JEEP,PATRIOT,SUV - SMALL,2.4,4,A6,X,11.3,8.7,10.1,28,238
3309,JAGUAR,F-TYPE S COUPE,TWO-SEATER,3.0,6,AS8,Z,12.2,8.7,10.6,27,244
3310,PORSCHE,911 CARRERA GTS,MINICOMPACT,3.8,6,M7,Z,12.9,9.0,11.2,25,262
3311,FIAT,124 SPIDER,TWO-SEATER,1.4,4,M6,X,9.0,6.7,7.9,36,185
3312,CHEVROLET,EXPRESS 1500 CARGO CONV AWD,VAN - CARGO,5.3,8,A4,X,18.3,14.2,16.5,17,380
3313,FORD,F-150 FFV (LT Tire Pkg),PICKUP TRUCK - STANDARD,3.3,6,AS6,X,12.4,9.8,11.2,25,263
3314,CHEVROLET,TAHOE 4WD,SUV - STANDARD,5.3,8,A6,E,20.5,14.0,17.6,16,282
3315,MERCEDES-BENZ,AMG E 63 S 4MATIC+ Wagon,STATION WAGON - MID-SIZE,4.0,8,A9,Z,14.6,10.4,,22,299
3316,GMC,Yukon,SUV - STANDARD,5.3,8,A6,X,,10.5,13.4,21,314
3317,DODGE,Journey AWD,SUV - SMALL,3.6,6,A6,X,14.5,10.0,12.4,23,292
3318,MINI,JOHN COOPER WORKS 3 DOOR,SUBCOMPACT,2.0,4,AS6,Z,9.3,7.2,8.3,34,196
3319,PORSCHE,911 TARGA 4S,MINICOMPACT,3.0,6,AM7,Z,11.1,8.6,10.0,28,233
3320,HYUNDAI,TUCSON AWD,SUV - SMALL,1.6,4,AM7,X,9.9,8.5,9.3,30,221
3321,BMW,440i xDRIVE GRAN COUPE,COMPACT,3.0,6,AS8,Z,11.1,7.5,9.5,30,223
3322,PORSCHE,911 Carrera 4 Cabriolet,MINICOMPACT,3.0,6,AM7,Z,11.0,8.4,9.8,29,230
3323,KIA,FORTE KOUP,COMPACT,1.6,4,AS6,X,10.6,7.8,9.4,30,216
3324,BMW,X1 xDRIVE28i,SUV - SMALL,2.0,4,AS8,Z,10.7,,9.3,30,217
3325,RAM,1500 Classic,PICKUP TRUCK - STANDARD,5.7,8,A6,X,17.0,12.0,14.8,19,346
3326,SUBARU,FORESTER AWD,SUV - SMALL,2.5,4,AV6,X,9.2,7.4,8.4,34,196
3327,NISSAN,Frontier,PICKUP TRUCK - STANDARD,3.8,6,AS9,X,13.1,9.8,11.6,24,273
3328,FIAT,500L,STATION WAGON - SMALL,1.4,4,AM6,X,9.9,7.2,8.7,32,200
3329,LINCOLN,MKC AWD (Start/Stop),SUV - SMALL,2.0,4,AS6,X,12.2,9.3,10.9,26,256
3330,FORD,T-150 WAGON FFV,VAN - PASSENGER,3.7,6,AS6,E,23.1,18.6,21.0,13,345
3331,MINI,COOPER S 3 DOOR,SUBCOMPACT,2.0,4,AS6,Z,9.3,7.2,8.3,34,196
3332,BMW,M6,COMPACT,4.4,8,AM7,Z,17.2,11.6,14.7,19,343
3333,TOYOTA,RAV4 AWD,SUV - SMALL,2.5,4,AS6,X,10.5,8.2,9.5,30,218
3334,FORD,Edge AWD,SUV - SMALL,2.0,4,AS8,X,11.4,8.3,10.0,28,233
3335,JAGUAR,F-TYPE COUPE,TWO-SEATER,2.0,4,AS8,Z,10.2,7.8,9.2,31,215
3336,NISSAN,Sentra (Turbo),MID-SIZE,1.6,4,AV7,Z,8.9,7.3,8.2,34,193
3337,CHEVROLET,Impala,FULL-SIZE,3.6,6,AS6,E,17.2,11.6,14.7,19,246
3338,LINCOLN,MKC AWD,SUV - SMALL,2.3,4,AS6,X,13.1,9.4,11.4,25,268
3339,KIA,OPTIMA,FULL-SIZE,1.6,4,AM7,X,8.4,6.1,,38,175
3340,LAND ROVER,Range Rover 5.0 Supercharged,SUV - STANDARD,5.0,8,AS8,Z,14.4,11.3,13.0,22,305
3341,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,X,14.9,10.6,13.0,22,299
3342,CADILLAC,ATS,COMPACT,2.5,4,AS8,X,10.7,7.4,9.2,31,216
3343,BMW,750Li xDrive,FULL-SIZE,4.4,8,AS8,Z,14.0,9.6,12.0,24,282
3344,MERCEDES-BENZ,AMG GLC 43 4MATIC COUPE,SUV - SMALL,3.0,6,A9,Z,13.0,9.9,11.6,24,272
3345,BMW,640i xDRIVE GRAN COUPE,COMPACT,3.0,6,AS8,Z,12.3,8.4,10.5,27,248
3346,LEXUS,NX 300h AWD,SUV - SMALL,2.5,4,AV6,X,7.1,7.7,7.4,38,172
3347,FORD,Escape Hybrid AWD,SUV - SMALL,2.5,4,AV,X,5.5,6.4,5.9,48,139
3348,TOYOTA,HIGHLANDER,SUV - SMALL,3.5,6,AS6,X,12.5,9.3,11.1,25,255
3349,PORSCHE,PANAMERA,FULL-SIZE,3.0,6,AM8,Z,11.0,8.3,9.8,29,229
3350,BMW,M4 CABRIOLET,SUBCOMPACT,3.0,6,M6,Z,14.1,9.0,11.8,24,278
3351,HYUNDAI,VELOSTER TURBO,COMPACT,1.6,4,AM6,X,8.9,,8.1,35,191
3352,VOLKSWAGEN,BEETLE CONVERTIBLE,SUBCOMPACT,1.8,4,A6,X,9.8,7.3,,32,200
3353,AUDI,SQ5,SUV - SMALL,3.0,6,AS8,Z,12.7,10.0,11.5,25,270
3354,BMW,230i xDRIVE CABRIOLET,SUBCOMPACT,2.0,4,AS8,Z,10.5,7.4,9.1,31,213
3355,JAGUAR,XF 20d AWD,MID-SIZE,2.0,4,AS8,D,7.8,5.8,6.9,41,186
3356,BMW,X6 xDRIVE50i,SUV - STANDARD,4.4,8,AS8,Z,15.4,11.2,13.5,21,317
3357,RAM,1500 Classic FFV,PICKUP TRUCK - STANDARD,3.6,6,A8,E,19.7,13.8,17.0,17,283
3358,CHEVROLET,SONIC RS,COMPACT,1.4,4,M6,X,8.9,7.0,8.0,35,189
3359,LAND ROVER,Discovery,SUV - STANDARD,3.0,6,AS8,Z,14.8,11.4,,21,311
3360,INFINITI,Q70 AWD,MID-SIZE,5.6,8,AS7,Z,14.9,10.2,12.8,22,301
3361,CADILLAC,CT6 AWD,FULL-SIZE,4.2,8,AS10,Z,17.3,9.5,13.8,20,324
3362,HONDA,Civic Type R,FULL-SIZE,2.0,4,M6,Z,10.6,8.3,9.6,29,224
3363,SCION,FR-S,MINICOMPACT,2.0,4,AS6,Z,9.6,7.0,,34,193
3364,DODGE,CHALLENGER SRT,MID-SIZE,6.4,8,M6,Z,16.8,10.4,13.9,20,320
3365,LAND ROVER,Discovery Sport,SUV - SMALL,2.0,4,AS9,Z,11.4,9.3,10.5,27,246
3366,MERCEDES-BENZ,SL 550,TWO-SEATER,4.7,8,AS7,Z,13.4,9.6,11.7,24,269
3367,MINI,COOPER S COUNTRYMAN  ALL4,MID-SIZE,2.0,4,AS8,Z,10.5,7.4,9.1,31,213
3368,BMW,M5 Sedan,MID-SIZE,4.4,8,AS8,Z,16.0,11.0,13.8,20,322
3369,LAMBORGHINI,Urus,SUV - STANDARD,4.0,8,AS8,Z,19.2,14.1,16.9,17,384
3370,FIAT,500 CABRIO TURBO,MINICOMPACT,1.4,4,M5,X,8.5,6.9,7.8,36,179
3371,BMW,760Li SEDAN,FULL-SIZE,6.0,12,AS8,Z,18.7,11.6,15.5,18,356
3372,AUDI,SQ5,SUV - SMALL,3.0,6,AS8,Z,14.1,9.9,12.2,23,281
3373,MAZDA,CX-3 4WD,COMPACT,2.0,4,AS6,X,8.8,7.5,8.2,34,192
3374,MERCEDES-BENZ,E 63 AMG S 4MATIC WAGON,STATION WAGON - MID-SIZE,5.5,8,AS7,Z,15.2,11.0,13.3,21,306
3375,CHEVROLET,Tahoe 4WD FFV,SUV - STANDARD,5.3,8,A6,X,15.8,11.1,13.7,21,321
3376,FORD,F-150 (Payload Pkg),PICKUP TRUCK - STANDARD,2.7,6,AS10,X,12.4,9.4,11.1,25,260
3377,AUDI,S5 CABRIOLET,SUBCOMPACT,3.0,6,A7,Z,13.3,9.5,11.6,24,267
3378,RAM,1500 FFV,PICKUP TRUCK - STANDARD,3.6,6,A8,X,13.9,9.5,11.9,24,274
3379,LAMBORGHINI,HURACAN AWD,TWO-SEATER,5.2,10,AM7,Z,17.2,12.2,15.0,19,349
3380,PORSCHE,911 Carrera 4 GTS,MINICOMPACT,3.0,6,M7,Z,12.8,8.9,11.0,26,257
3381,GMC,SIERRA,PICKUP TRUCK - STANDARD,5.3,8,A6,E,19.5,13.7,16.9,17,270
3382,GMC,YUKON 4WD FFV,SUV - STANDARD,5.3,8,A6,X,15.2,10.8,13.2,21,310
3383,CADILLAC,CT6 AWD,FULL-SIZE,3.0,6,AS8,Z,13.0,9.1,11.2,25,263
3384,GMC,SIERRA 4WD FFV,PICKUP TRUCK - STANDARD,5.3,8,A6,X,15.0,10.7,13.1,22,306
3385,CADILLAC,CTS Vsport,MID-SIZE,3.6,6,AS8,Z,15.0,9.9,12.7,22,299
3386,PORSCHE,911 TURBO,MINICOMPACT,3.8,6,AM7,Z,12.6,9.9,11.4,25,266
3387,ASTON MARTIN,RAPIDE S,SUBCOMPACT,6.0,12,A8,Z,16.7,,14.1,20,331
3388,VOLVO,V60 CC T5 AWD,STATION WAGON - SMALL,2.0,4,AS8,Z,10.8,7.7,9.4,30,220
3389,TOYOTA,Tundra 4WD,PICKUP TRUCK - STANDARD,5.7,8,AS6,X,18.0,14.1,16.3,17,382
3390,BMW,X4 xDrive30i,SUV - SMALL,2.0,4,AS8,Z,10.0,8.2,9.2,31,215
3391,FORD,TRANSIT CONNECT WAGON FFV,SPECIAL PURPOSE VEHICLE,2.5,4,AS6,E,,12.0,14.6,19,240
3392,ACURA,RLX Hybrid,MID-SIZE,3.5,6,AM7,Z,8.4,8.2,8.4,34,196
3393,TOYOTA,HIGHLANDER,SUV - SMALL,3.5,6,AS6,X,12.5,9.3,11.1,25,260
3394,GMC,YUKON FFV,SUV - STANDARD,5.3,8,A6,E,19.8,,17.2,16,285
3395,MINI,COOPER S 5 DOOR,SUBCOMPACT,2.0,4,AS6,Z,9.2,7.0,8.2,34,193
3396,LAND ROVER,RANGE ROVER SPORT V8 5.0 SC FFV,SUV - STANDARD,5.0,8,AS8,Z,16.6,12.3,14.7,19,338
3397,MERCEDES-BENZ,GL 63 AMG,SUV - STANDARD,5.5,8,AS7,Z,18.2,14.0,16.3,17,375
3398,MINI,Cooper 5 Door,SUBCOMPACT,1.5,3,AM7,Z,8.3,,7.5,38,174
3399,LAMBORGHINI,AVENTADOR COUPE,TWO-SEATER,6.5,12,AM7,Z,23.8,14.1,19.4,15,454
3400,PORSCHE,Panamera Turbo ST,FULL-SIZE,4.0,8,AM8,Z,,10.1,11.9,24,279
3401,FORD,F-150,PICKUP TRUCK - STANDARD,3.5,6,AS10,X,13.6,10.1,12.0,24,282
3402,LAMBORGHINI,Aventador Roadster,TWO-SEATER,6.5,12,AM7,Z,26.6,15.8,21.7,13,493
3403,CHEVROLET,Silverado 4WD,PICKUP TRUCK - STANDARD,4.3,6,A6,X,15.8,11.9,14.0,20,329
3404,CHEVROLET,COLORADO 4WD,PICKUP TRUCK - SMALL,2.8,4,A6,D,12.1,,10.4,27,280
3405,HONDA,Insight EX,MID-SIZE,1.5,4,AV,X,4.6,5.3,4.9,58,114
3406,LEXUS,LS 500h AWD,MID-SIZE,3.5,6,AV10,Z,10.3,7.7,9.1,31,214
3407,AUDI,S8,MID-SIZE,4.0,8,AS8,Z,16.2,9.9,13.4,21,312
3408,TOYOTA,Tacoma 4WD,PICKUP TRUCK - SMALL,2.7,4,AS6,X,12.7,10.6,11.7,24,274
3409,DODGE,DURANGO AWD,SUV - STANDARD,3.6,6,A8,X,12.8,9.5,11.3,25,265
3410,RAM,1500 4X4 (MDS),PICKUP TRUCK - STANDARD,5.7,8,A6,X,17.7,12.7,15.4,18,354
3411,ROLLS-ROYCE,GHOST,FULL-SIZE,6.6,12,AS8,Z,19.2,12.4,,18,370
3412,LEXUS,NX 300 AWD,SUV - SMALL,2.0,4,AS6,Z,10.7,8.5,9.7,29,226
3413,TOYOTA,SIENNA AWD,MINIVAN,3.5,6,AS6,X,,,12.4,23,285
3414,HYUNDAI,SANTA FE ULTIMATE AWD,SUV - SMALL,3.3,6,AS6,X,13.9,10.8,12.5,23,295
3415,FORD,MUSTANG,SUBCOMPACT,5.0,8,AS6,X,14.9,9.5,12.4,23,285
3416,NISSAN,SENTRA NISMO,MID-SIZE,1.6,4,M6,Z,9.5,7.6,8.7,32,204
3417,KIA,SORENTO AWD,SUV - SMALL,2.4,4,AS6,X,,9.4,10.9,26,251
3418,GMC,YUKON XL 4WD,SUV - STANDARD,5.3,8,A6,E,22.1,15.4,19.1,15,306
3419,PORSCHE,911 CARRERA 4 GTS,MINICOMPACT,3.8,6,M7,Z,13.0,9.2,11.3,25,260
3420,AUDI,Q3 quattro,SUV - SMALL,2.0,4,AS8,X,12.3,8.6,10.6,27,248
3421,VOLKSWAGEN,BEETLE TDI (modified),COMPACT,2.0,4,A6,D,8.4,5.9,7.4,38,200
3422,DODGE,CHALLENGER,MID-SIZE,6.4,8,M6,Z,16.8,10.4,13.9,20,326
3423,TOYOTA,Highlander Hybrid AWD,SUV - STANDARD,3.5,6,AV6,X,8.1,8.5,8.3,34,193
3424,GMC,SAVANA 1500 CARGO CONV AWD,VAN - CARGO,5.3,8,A4,E,25.3,19.3,22.6,12,362
3425,FORD,FIESTA,SUBCOMPACT,1.6,4,M5,X,8.5,6.5,7.6,37,179
3426,CHEVROLET,SILVERADO FFV,PICKUP TRUCK - STANDARD,4.3,6,A6,X,13.4,10.0,11.8,24,278
3427,HONDA,ACCORD,MID-SIZE,2.4,4,M6,X,10.1,6.9,8.7,32,200
3428,HONDA,ODYSSEY,MINIVAN,3.5,6,AS9,X,12.6,8.4,10.7,26,252
3429,LEXUS,LS 500h AWD,MID-SIZE,3.5,6,AV10,Z,10.3,7.6,9.1,31,211
3430,CHRYSLER,200 FFV,MID-SIZE,3.6,6,A9,X,12.4,7.5,10.2,28,239
3431,BMW,335i xDRIVE GRAN TURISMO,FULL-SIZE,3.0,6,AS8,Z,12.0,7.9,10.2,28,238
3432,CHEVROLET,IMPALA,FULL-SIZE,3.6,6,AS6,E,17.0,11.5,14.5,19,232
3433,JEEP,Grand Cherokee 4X4 Trackhawk,SUV - STANDARD,6.2,8,A8,Z,20.9,13.8,17.7,16,413
3434,FORD,MUSTANG,SUBCOMPACT,2.3,4,AS6,X,11.0,7.9,9.6,29,226
3435,BUICK,Regal AWD,MID-SIZE,3.6,6,AS9,X,12.5,8.8,10.9,26,255
3436,TOYOTA,YARIS HATCHBACK,COMPACT,1.5,4,M5,X,7.8,6.5,7.2,39,168
3437,MASERATI,Levante,SUV - STANDARD,3.0,6,AS8,Z,15.9,11.1,,21,324
3438,LEXUS,LX 570,SUV - STANDARD,5.7,8,AS6,Z,18.8,,16.5,17,380
3439,SUBARU,WRX AWD,COMPACT,2.0,4,M6,Z,11.3,8.5,10.0,28,235
3440,TOYOTA,COROLLA,MID-SIZE,1.8,4,AV7,X,7.9,6.1,7.1,40,166
3441,MAZDA,MAZDA3 4-DOOR,COMPACT,2.5,4,AS6,X,8.4,6.1,7.4,38,170
3442,BMW,440i COUPE,COMPACT,3.0,6,AS8,Z,9.2,6.2,7.8,36,183
3443,MERCEDES-BENZ,C 300 4MATIC WAGON,STATION WAGON - MID-SIZE,2.0,4,A9,Z,10.7,8.0,,30,222
3444,MAZDA,MAZDA3 5-DOOR (SIL),MID-SIZE,2.5,4,M6,X,9.2,6.6,8.1,35,190
3445,BMW,M240i Cabriolet,SUBCOMPACT,3.0,6,M6,Z,12.7,8.8,10.9,26,255
3446,INFINITI,Q70 AWD,MID-SIZE,5.6,8,AS7,Z,15.0,10.2,12.9,22,297
3447,BMW,650i xDRIVE COUPE,COMPACT,4.4,8,AS8,Z,14.4,9.7,12.3,23,283
3448,KIA,SORENTO AWD,SUV - SMALL,2.4,4,AS6,X,11.4,9.2,10.4,27,245
3449,CHEVROLET,SONIC 5,MID-SIZE,1.4,4,M6,X,8.5,6.2,7.5,38,173
3450,ASTON MARTIN,VANQUISH,MINICOMPACT,5.9,12,A6,Z,18.0,12.6,15.6,18,359
3451,BMW,X3 M40i,SUV - SMALL,3.0,6,AS8,Z,11.3,8.7,10.1,28,235
3452,FIAT,500 HATCHBACK TURBO,MINICOMPACT,1.4,4,M5,X,8.5,6.9,7.8,36,183
3453,PORSCHE,PANAMERA 4S ST,FULL-SIZE,2.9,6,AM8,Z,12.1,9.0,10.7,26,249
3454,CHRYSLER,300 FFV,FULL-SIZE,3.6,6,A8,X,12.4,7.8,10.3,27,242
3455,CHEVROLET,Tahoe 4WD FFV,SUV - STANDARD,5.3,8,A6,E,21.7,14.3,18.4,15,305
3456,BMW,440i Coupe,COMPACT,3.0,6,AS8,Z,11.4,8.1,9.9,29,231
3457,TOYOTA,PRIUS v,STATION WAGON - MID-SIZE,1.8,4,AV,X,5.3,5.8,5.5,51,126
